,SASA_corr
AOL,0.4001377733903023
AAL,0.4126737934991071
AAL,0.5639014034833261
AAL,0.04389321596498419
AAL,0.429041596087463
SNA,0.029214533433854148
ConA,0.5337199861225943
ConA,0.7815670168020985
MAL-II,0.41695948803491445
MAL-II,0.3316153445336097
MAL-II,0.0423563494471858
MAL-II,0.33161534453360975
MAL-II,
MAL-II,0.2778427444243145
MAL-II,0.41135895226887165
MAL-II,0.3316153445336097
MAL-II,0.39207580080734683
MAL-II,0.3920758008073468
MAL-II,0.39207580080734683
MAL-II,0.15929601164205098
MAL-II,0.3684745276166045
MAL-II,0.3920758008073468
MAL-II,0.4113589522688718
MAL-II,0.38312138597074785
MAL-II,0.4025011103070977
MAL-II,0.3831213859707478
MAL-II,0.042356349447185804
MAL-II,0.0423563494471858
MAL-II,0.38312138597074774
MAL-II,0.3316153445336098
MAL-II,0.36847452761660454
MAL-II,0.36847452761660454
MAL-II,0.36847452761660454
MAL-II,
MAL-II,0.42227711897753534
MAL-II,0.04235634944718578
MAL-II,0.42227711897753545
MAL-II,0.04235634944718578
MAL-II,0.04235634944718578
MAL-II,
MAL-II,
MAL-II,
MAL-II,
MAL-II,0.41135895226887165
PNA,0.4771966883596423
CMA,0.3324744155456846
HPA,0.2600819387743114
HPA,-0.2248345139556351
AMA,0.28616360868828594
GNA,0.545043277516543
HHL,0.6905966666456943
UDA,0.4410775156407965
ABA,0.7139067538088869
CA,1.0
CAA,0.398453473633144
CAA,0.32751391875380725
MPA,-0.7262123907301858
LcH,
LTL,-0.1126887413938171
PSA,0.9227426551641028
PTL-I,
PTL-II,0.916538954207768
UEA-I,0.9200188162711008
UEA-I,0.6664858442693405
CTB,
CTB,
MAL-I,
MAL,
PSL,0.18008695063504268
GS-II,0.6540729336701606
BPL,
CSA,
DBA,
ECA,
LEA,
LEL,
PA-IL,
RCA-I,
SBA,
SJA,
STA,
STL,
VVL,
WGA,
